Book Title,Book Author,Book Runtime
Defiance of the Fall 9,"By: TheFirstDefier, JF Brink",Length: 22 hrs and 34 mins
My Dark Romeo,"By: L.J. Shen, Parker S. Huntington",Length: 12 hrs and 29 mins
Magical Midlife Alliance,By: K.F. Breene,Length: 11 hrs and 26 mins
Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
"Poverty, by America",By: Matthew Desmond,Length: 5 hrs and 40 mins
Change Your Brain Every Day,By: Daniel Amen,Length: 15 hrs and 8 mins
Underspire,"By: Jason Anspach, Nick Cole, Walt Robillard",Length: 11 hrs and 22 mins
Does It Hurt?,By: H. D. Carlton,Length: 12 hrs and 7 mins
The Medici Manuscript,By: C.J. Archer,Length: 7 hrs and 59 mins
"Right Man, Right Time",By: Meghan Quinn,Length: 12 hrs and 39 mins
Goal,By: Alexandria House,Length: 6 hrs and 12 mins
Dirty Laundry,"By: Richard Pink, Roxanne Emery",Length: 4 hrs and 2 mins
The Captain,By: Will Wight,Length: 11 hrs and 24 mins
Stolen Youth,"By: Karol Markowicz, Bethany Mandel",Length: 9 hrs and 5 mins
Unbroken: The Trauma Response Is Never Wrong,By: MaryCatherine McDonald PhD,Length: 5 hrs and 32 mins
Flirting with Forever,By: Claire Kingsley,Length: 8 hrs and 56 mins
Murtagh,By: Christopher Paolini,Length: 18 hrs
One for the Ages,By: JD Kirk,Length: 11 hrs and 32 mins
Smolder,By: Laurell K. Hamilton,Length: 11 hrs and 14 mins
Dirty Thirty,By: Janet Evanovich,Length: 8 hrs
Hail Mary,By: Kandi Steiner,Length: 10 hrs and 38 mins
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide 9th Edition,"By: Mike Chapple, James Michael Stewart, Darril Gibson",Length: 65 hrs and 38 mins
The Snow Graves,By: Roger Stelljes,Length: 12 hrs and 49 mins
Two Weeks Notice,By: Amy Porterfield,Length: 7 hrs and 38 mins
Feral Wolf,"By: Caroline Peckham, Susanne Valenti",Length: 11 hrs and 34 mins
Torch,By: Chelle Bliss,Length: 6 hrs and 9 mins
Eat to Beat Your Diet,By: William W Li MD,Length: 14 hrs and 8 mins
Gut Feelings,"By: Dr. Will Cole, Nicole Lepera PhD - foreword",Length: 6 hrs and 4 mins
How to Defy a Vampire,By: Alice Winters,Length: 9 hrs and 52 mins
Code Red,"By: Vince Flynn, Kyle Mills",Length: 9 hrs and 30 mins
The Staff Engineer's Path,By: Tanya Reilly,Length: 14 hrs and 15 mins
Into the Tide,By: Laura Pavlov,Length: 9 hrs and 19 mins
Satan's Affair,By: H. D. Carlton,Length: 5 hrs and 47 mins
UFO of God,By: Chris Bledsoe,Length: 7 hrs and 52 mins
Simply Lies,By: David Baldacci,Length: 11 hrs and 45 mins
Toes Up in the Tulips,By: Dale Mayer,Length: 6 hrs and 11 mins
All of Me: The Complete Series,By: Siobhan Davis,Length: 36 hrs and 17 mins
The Obstacle Is the Way,By: Ryan Holiday,Length: 4 hrs and 38 mins
The Rules of Dating My Best Friend's Sister,"By: Vi Keeland, Penelope Ward",Length: 10 hrs and 51 mins
Now You See Me,By: D.K. Hood,Length: 7 hrs and 43 mins
Why Do I Do What I Don't Want to Do?,"By: Jonathan ""JP"" Pokluda, Jon Green - contributor",Length: 5 hrs and 5 mins
Magi Guard,By: Daniel Schinhofen,Length: 13 hrs and 2 mins
The Surgeon,By: Leslie Wolfe,Length: 10 hrs and 46 mins
Grandmaster Arcanist,By: Shami Stovall,Length: 15 hrs and 13 mins
Singularity,By: Jeremy Robinson,Length: 12 hrs and 46 mins
The White Lady,By: Jacqueline Winspear,Length: 10 hrs and 6 mins
Ruge o espera a ser devorado,By: Daniel Habif,Length: 6 hrs and 20 mins
The Best Strangers in the World,By: Ari Shapiro,Length: 8 hrs and 15 mins
Zodiac Aligned,By: Elizabeth Briggs,Length: 8 hrs and 30 mins
Loving Whiskey,By: Brittanee Nicole,Length: 12 hrs and 17 mins
Legacy of Shadows,By: Tessa Hale,Length: 7 hrs and 5 mins
El destructor [The Destroyer],By: Pablo Hiriart,Length: 10 hrs and 49 mins
Vacuuming in the Nude,By: Peggy Rowe,Length: 6 hrs and 7 mins
"Portal to Nova Roma: The Rhine, Book 3",By: J.R. Mathews,Length: 25 hrs and 24 mins
Only the Dead,By: Jack Carr,Length: 12 hrs
Nantucket Homes,By: Pamela M. Kelley,Length: 5 hrs and 53 mins
Did I Ever Tell You This?,By: Sam Neill,Length: 12 hrs and 35 mins
The Moonlight Child,By: Karen McQuestion,Length: 9 hrs and 52 mins
Cherish,By: Tracy Wolff,Length: 19 hrs
All the Time in the World,By: John Gierach,Length: 6 hrs and 55 mins
What's Our Problem?,By: Tim Urban,Length: 13 hrs and 58 mins
One Bossy Dare,By: Nicole Snow,Length: 13 hrs and 54 mins
Stain,By: Neven Iliev,Length: 16 hrs and 34 mins
The Family Jewels,By: Caimh McDonnell,Length: 10 hrs and 9 mins
One Bad Roll: A LitRPG Adventure,By: Ryan Rimmel,Length: 12 hrs and 47 mins
Rise of the Weakest Summoner: Volumes I-III Omnibus,By: J. R. Saileri,Length: 28 hrs and 43 mins
RoomHate,By: Penelope Ward,Length: 8 hrs and 13 mins
Unearthing Joy,By: Gholdy Muhammad,Length: 8 hrs and 24 mins
Cannon,By: Sawyer Bennett,Length: 7 hrs and 44 mins
Rocked by Love: The Bradens & Montgomerys,By: Melissa Foster,Length: 13 hrs and 14 mins
Their Perfect Omega,By: Maya Nicole,Length: 7 hrs and 26 mins
A Game of Malice and Greed,"By: Caroline Peckham, Susanne Valenti",Length: 25 hrs and 50 mins
Dark Angel,By: John Sandford,Length: 11 hrs and 7 mins
Poison Roses,"By: Tate James, Jaymin Eve",Length: 8 hrs and 25 mins
The Birdcage Murders,By: Karen Baugh Menuhin,Length: 8 hrs and 55 mins
The Complete Deathless Saga: Books 1-6 and the Prequel Novella,By: Chris Fox,Length: 75 hrs and 35 mins
Urchin,By: Mark Goodwin,Length: 8 hrs and 14 mins
Cheating Death,By: Dr. Rand McClain,Length: 8 hrs and 1 min
The Night She Vanished,By: Wendy Dranfield,Length: 13 hrs and 10 mins
Never Saw You Coming,By: S L Scott,Length: 9 hrs and 49 mins
Querido Yo [Dear Me],By: Alejandro Sequera,Length: 3 hrs and 37 mins
Saffron Wilds,By: Kai Butler,Length: 12 hrs and 48 mins
Hunted by Fate,By: Shannon Mayer,Length: 8 hrs and 8 mins
Homecoming,By: Kate Morton,Length: 19 hrs and 4 mins
Entranced by the Basilisks,By: Lillian Lark,Length: 10 hrs and 17 mins
In Isabeau's Eyes,By: Lora Leigh,Length: 9 hrs and 24 mins
Riptides,By: Blaine L. Pardoe,Length: 13 hrs and 3 mins
Welcome to Knockwood,By: Lucy Lennox,Length: 1 hr and 27 mins
Fateless: Book One,By: Martin McKenzie,Length: 18 hrs and 58 mins
Birnam Wood,By: Eleanor Catton,Length: 12 hrs and 47 mins
Luke,By: Adam Hamilton,Length: 5 hrs and 39 mins
Living on the Inside of the Edge,By: Christian Kimball,Length: 9 hrs and 13 mins
"Mud, Blood, and Magic",By: A. D. Krabis,Length: 14 hrs and 17 mins
"Epic Content Marketing, Second Edition","By: Joe Pulizzi, Brian W. Piper",Length: 9 hrs and 45 mins
"So Many Lions, So Few Daniels",By: Ray Comfort,Length: 4 hrs and 53 mins
All of Me,"By: Anne Murray, Michael Posner - contributor",Length: 10 hrs and 36 mins
Water Borne,By: Octavia Randolph,Length: 15 hrs and 25 mins
The End and the Death: Volume 1,By: Dan Abnett,Length: 18 hrs and 33 mins
Hacker in Love,By: Lauren Rowe,Length: 13 hrs and 57 mins
"A sus órdenes, mi general [At Your Command, My General]",By: J. Jesús Esquivel,Length: 4 hrs and 45 mins
Smoke and Murders,By: S.C. Wynne,Length: 12 hrs and 6 mins
Darktown Funk,By: Eric Ugland,Length: 10 hrs
Armageddon,By: Bart D. Ehrman,Length: 7 hrs and 57 mins
Wyoming Wild,By: Sarah M. Eden,Length: 7 hrs and 32 mins
Dangerous Jesus,"By: Kevin Burgess, Jackie Hill Perry",Length: 7 hrs and 11 mins
Second Wives,By: Carey Baldwin,Length: 8 hrs and 55 mins
Murder in the Mews,By: Irina Shapiro,Length: 8 hrs and 15 mins
Sinful Mafia Prince,"By: Ella Frank, Brooke Blaine",Length: 6 hrs and 15 mins
The Truth About Wuhan,By: Dr. Andrew G. Huff,Length: 14 hrs and 10 mins
Empire's Run,By: Deacon Frost,Length: 10 hrs and 16 mins
How to Make Money in Stocks (Fourth Edition),By: William J. O'Neil,Length: 11 hrs and 50 mins
The Holiday Home,By: Daniel Hurst,Length: 6 hrs and 49 mins
A Match in the Making,By: Jen Turano,Length: 10 hrs and 4 mins
Both Feet in the Grave,By: Jeaniene Frost,Length: 10 hrs and 5 mins
"Dark Waters, Starry Skies",By: Jeffrey Cox,Length: 31 hrs and 15 mins
Ruby Mage Omnibus,By: Dan Raxor,Length: 29 hrs and 30 mins
Neural Wraith 2,By: K.D. Robertson,Length: 15 hrs and 56 mins
Jungle World,By: B.V. Larson,Length: 13 hrs and 59 mins
Reclusive Mage,By: Inadvisably Compelled,Length: 12 hrs and 27 mins
Power,By: Cassandra Robbins,Length: 8 hrs and 58 mins
Dark Legacy,By: Tracy Lorraine,Length: 8 hrs
Flack,By: Kris Michaels,Length: 6 hrs and 5 mins
Brotherhood of the Flying Coffin,By: Scott McGaugh,Length: 9 hrs and 12 mins
Star Bounty: The Complete Series,By: Rick Partlow,Length: 25 hrs and 10 mins
"I, Human",By: Tomas Chamorro-Premuzic,Length: 4 hrs and 56 mins
The Vampire Knitting Club: Cornwall,By: Nancy Warren,Length: 6 hrs and 30 mins
Central Banking 101,By: Joseph J Wang,Length: 4 hrs and 49 mins
It Calls from the Sea,By: Eerie River Publishing,Length: 11 hrs and 4 mins
Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
Double Dose,By: Gretchen Archer,Length: 8 hrs and 14 mins
My What If Year,By: Alisha Fernandez Miranda,Length: 7 hrs and 22 mins
Snow Leopard,"By: Category Pirates, Nicolas Cole, Christopher Lochhead, Eddie Yoon",Length: 7 hrs and 26 mins
Tell Her Story,"By: Nijay K. Gupta, Beth Allison Barr - foreword",Length: 7 hrs and 22 mins
Brutal Billionaire,By: Laurelin Paige,Length: 13 hrs and 9 mins
First Comes Blood,By: Lilith Vincent,Length: 8 hrs and 22 mins
Empath And Narcissist,By: Lisa Kennedy,Length: 20 hrs and 32 mins
Una historia compartida [A Shared History],By: Julia Navarro,Length: 13 hrs and 8 mins
Bastard,"By: Alexey Osadchuk, Andrew Douglas Schmitt - translator",Length: 9 hrs and 37 mins
Happy Place,By: Emily Henry,Length: 11 hrs and 3 mins
A Soul of Ash and Blood,By: Jennifer L. Armentrout,Length: 24 hrs
Never Lie,By: Freida McFadden,Length: 7 hrs and 22 mins
Fast Like a Girl,By: Dr. Mindy Pelz,Length: 8 hrs and 13 mins
The Prince Goes Nuclear,By: Matthew Howry,Length: 11 hrs and 52 mins
Split Scope,By: Mike Ryan,Length: 5 hrs and 16 mins
The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 14 hrs and 50 mins
Chasing Sunsets,By: Rachel Hanna,Length: 3 hrs and 47 mins
Killing the Witches,"By: Bill O'Reilly, Martin Dugard",Length: 10 hrs
The Whole-Brain Child,"By: Daniel J. Siegel, Tina Payne Bryson",Length: 6 hrs and 14 mins
No More Lies,By: Rachel Abbott,Length: 11 hrs and 41 mins
An Extravagant Duplicity,By: Lynn Messina,Length: 8 hrs and 52 mins
Your Brain on Art,"By: Susan Magsamen, Ivy Ross",Length: 9 hrs and 11 mins
Storm Watch,By: C. J. Box,Length: 9 hrs and 4 mins
Unleashed,By: Joshua Dalzelle,Length: 8 hrs and 18 mins
The Red Pyramid,By: Rick Riordan,Length: 14 hrs and 33 mins
Pen Pal,By: J.T. Geissinger,Length: 7 hrs and 54 mins
"If This Book Exists, You're in the Wrong Universe","By: Jason Pargin, David Wong",Length: 14 hrs and 25 mins
Scattered Minds,By: Gabor Maté MD,Length: 10 hrs and 59 mins
The Fine Print,By: Lauren Asher,Length: 11 hrs and 8 mins
The Boy and the Beast,By: Joseph Morgan,Length: 31 mins
Holly,By: Stephen King,Length: 16 hrs
Foul Play,By: Helena Marchmont,Length: 2 hrs and 57 mins
Colonist Soldier,"By: Dan Raxor, Tyler Bowman",Length: 23 hrs and 13 mins
The Dark Hours,By: David J. Gatward,Length: 9 hrs and 43 mins
Until You,By: K. Bromberg,Length: 8 hrs and 27 mins
In a Jam,By: Kate Canterbary,Length: 15 hrs and 54 mins
The Awe of God,By: John Bevere,Length: 7 hrs and 28 mins
One Bossy Date,By: Nicole Snow,Length: 15 hrs and 14 mins
Birnam Wood,By: Eleanor Catton,Length: 12 hrs and 47 mins
Scaling People,By: Claire Hughes Johnson,Length: 11 hrs and 32 mins
Vanished in Vermillion,By: Lou Raguse,Length: 9 hrs and 40 mins
The Tangled Treasure Trail,By: Benedict Brown,Length: 8 hrs and 3 mins
Lent,By: Esau McCaulley,Length: 1 hr and 51 mins
Hunted: Magiford Supernatural City,By: K. M. Shea,Length: 9 hrs and 12 mins
Never Lie,By: Freida McFadden,Length: 7 hrs and 22 mins
Certified Information Security Manager CISM Study Guide,By: Mike Chapple PhD CISM,Length: 19 hrs and 21 mins
I Will Find You,By: Harlan Coben,Length: 10 hrs and 16 mins
Fast Like a Girl,By: Dr. Mindy Pelz,Length: 8 hrs and 13 mins
The Prince Goes Nuclear,By: Matthew Howry,Length: 11 hrs and 52 mins
Split Scope,By: Mike Ryan,Length: 5 hrs and 16 mins
The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 14 hrs and 50 mins
Chasing Sunsets,By: Rachel Hanna,Length: 3 hrs and 47 mins
Killing the Witches,"By: Bill O'Reilly, Martin Dugard",Length: 10 hrs
The Whole-Brain Child,"By: Daniel J. Siegel, Tina Payne Bryson",Length: 6 hrs and 14 mins
The 6 Types of Working Genius,By: Patrick M. Lencioni,Length: 4 hrs and 11 mins
No More Lies,By: Rachel Abbott,Length: 11 hrs and 41 mins
An Extravagant Duplicity,By: Lynn Messina,Length: 8 hrs and 52 mins
Your Brain on Art,"By: Susan Magsamen, Ivy Ross",Length: 9 hrs and 11 mins
Storm Watch,By: C. J. Box,Length: 9 hrs and 4 mins
Unleashed,By: Joshua Dalzelle,Length: 8 hrs and 18 mins
The Red Pyramid,By: Rick Riordan,Length: 14 hrs and 33 mins
Pen Pal,By: J.T. Geissinger,Length: 7 hrs and 54 mins
"If This Book Exists, You're in the Wrong Universe","By: Jason Pargin, David Wong",Length: 14 hrs and 25 mins
Scattered Minds,By: Gabor Maté MD,Length: 10 hrs and 59 mins
The Fine Print,By: Lauren Asher,Length: 11 hrs and 8 mins
The Boy and the Beast,By: Joseph Morgan,Length: 31 mins
Holly,By: Stephen King,Length: 16 hrs
Modern Magick,By: Donald Michael Kraig,Length: 26 hrs and 41 mins
Lowcountry Getaway,By: Susan M. Boyer,Length: 4 hrs and 46 mins
Problem Child,By: Heather Long,Length: 9 hrs and 19 mins
It's OK to Be Angry About Capitalism,"By: Senator Bernie Sanders, John Nichols",Length: 10 hrs and 59 mins
