date,home_team,score,away_team
05-08-2022,Crystal Palace,Crystal Palace,Arsenal
13-08-2022,Arsenal,Arsenal,Leicester
20-08-2022,Bournemouth,Bournemouth,Arsenal
27-08-2022,Arsenal,Arsenal,Fulham
31-08-2022,Arsenal,Arsenal,Aston Villa
04-09-2022,Man United,Man United,Arsenal
18-09-2022,Brentford,Brentford,Arsenal
01-10-2022,Arsenal,Arsenal,Tottenham
09-10-2022,Arsenal,Arsenal,Liverpool
16-10-2022,Leeds,Leeds,Arsenal
23-10-2022,Southampton,Southampton,Arsenal
30-10-2022,Arsenal,Arsenal,Nott'm Forest
06-11-2022,Chelsea,Chelsea,Arsenal
12-11-2022,Wolves,Wolves,Arsenal
26-12-2022,Arsenal,Arsenal,West Ham
31-12-2022,Brighton,Brighton,Arsenal
03-01-2023,Arsenal,Arsenal,Newcastle
15-01-2023,Tottenham,Tottenham,Arsenal
22-01-2023,Arsenal,Arsenal,Man United
04-02-2023,Everton,Everton,Arsenal
11-02-2023,Arsenal,Arsenal,Brentford
15-02-2023,Arsenal,Arsenal,Man City
18-02-2023,Aston Villa,Aston Villa,Arsenal
25-02-2023,Leicester,Leicester,Arsenal
01-03-2023,Arsenal,Arsenal,Everton
04-03-2023,Arsenal,Arsenal,Bournemouth
12-03-2023,Fulham,Fulham,Arsenal
19-03-2023,Arsenal,Arsenal,Crystal Palace
01-04-2023,Arsenal,Arsenal,Leeds
06-08-2022,Bournemouth,Bournemouth,Aston Villa
13-08-2022,Aston Villa,Aston Villa,Everton
20-08-2022,Crystal Palace,Crystal Palace,Aston Villa
28-08-2022,Aston Villa,Aston Villa,West Ham
31-08-2022,Arsenal,Arsenal,Aston Villa
03-09-2022,Aston Villa,Aston Villa,Man City
16-09-2022,Aston Villa,Aston Villa,Southampton
02-10-2022,Leeds,Leeds,Aston Villa
10-10-2022,Nott'm Forest,Nott'm Forest,Aston Villa
16-10-2022,Aston Villa,Aston Villa,Chelsea
20-10-2022,Fulham,Fulham,Aston Villa
23-10-2022,Aston Villa,Aston Villa,Brentford
29-10-2022,Newcastle,Newcastle,Aston Villa
06-11-2022,Aston Villa,Aston Villa,Man United
13-11-2022,Brighton,Brighton,Aston Villa
26-12-2022,Aston Villa,Aston Villa,Liverpool
01-01-2023,Tottenham,Tottenham,Aston Villa
04-01-2023,Aston Villa,Aston Villa,Wolves
13-01-2023,Aston Villa,Aston Villa,Leeds
21-01-2023,Southampton,Southampton,Aston Villa
04-02-2023,Aston Villa,Aston Villa,Leicester
12-02-2023,Man City,Man City,Aston Villa
18-02-2023,Aston Villa,Aston Villa,Arsenal
25-02-2023,Everton,Everton,Aston Villa
04-03-2023,Aston Villa,Aston Villa,Crystal Palace
12-03-2023,West Ham,West Ham,Aston Villa
18-03-2023,Aston Villa,Aston Villa,Bournemouth
01-04-2023,Chelsea,Chelsea,Aston Villa
06-08-2022,Bournemouth,Bournemouth,Aston Villa
13-08-2022,Man City,Man City,Bournemouth
20-08-2022,Bournemouth,Bournemouth,Arsenal
27-08-2022,Liverpool,Liverpool,Bournemouth
31-08-2022,Bournemouth,Bournemouth,Wolves
03-09-2022,Nott'm Forest,Nott'm Forest,Bournemouth
