date,home_team,score,away_team
14-08-2022,Almeria,Almeria,Real Madrid
27-08-2022,Almeria,Almeria,Sevilla
12-09-2022,Almeria,Almeria,Osasuna
08-10-2022,Almeria,Almeria,Vallecano
20-10-2022,Almeria,Almeria,Girona
29-10-2022,Almeria,Almeria,Celta
09-11-2022,Almeria,Almeria,Getafe
08-01-2023,Almeria,Almeria,Sociedad
15-01-2023,Almeria,Almeria,Ath Madrid
27-01-2023,Almeria,Almeria,Espanol
11-02-2023,Almeria,Almeria,Betis
26-02-2023,Almeria,Almeria,Barcelona
04-03-2023,Almeria,Almeria,Villarreal
18-03-2023,Almeria,Almeria,Cadiz
22-08-2022,Elche,Elche,Almeria
05-09-2022,Valladolid,Valladolid,Almeria
17-09-2022,Mallorca,Mallorca,Almeria
30-09-2022,Ath Bilbao,Ath Bilbao,Almeria
16-10-2022,Betis,Betis,Almeria
23-10-2022,Villarreal,Villarreal,Almeria
05-11-2022,Barcelona,Barcelona,Almeria
30-12-2022,Cadiz,Cadiz,Almeria
23-01-2023,Valencia,Valencia,Almeria
06-02-2023,Vallecano,Vallecano,Almeria
17-02-2023,Girona,Girona,Almeria
12-03-2023,Sevilla,Sevilla,Almeria
02-04-2023,Celta,Celta,Almeria
15-08-2022,Ath Bilbao,Ath Bilbao,Mallorca
21-08-2022,Ath Bilbao,Ath Bilbao,Valencia
04-09-2022,Ath Bilbao,Ath Bilbao,Espanol
17-09-2022,Ath Bilbao,Ath Bilbao,Vallecano
30-09-2022,Ath Bilbao,Ath Bilbao,Almeria
15-10-2022,Ath Bilbao,Ath Bilbao,Ath Madrid
30-10-2022,Ath Bilbao,Ath Bilbao,Villarreal
08-11-2022,Ath Bilbao,Ath Bilbao,Valladolid
09-01-2023,Ath Bilbao,Ath Bilbao,Osasuna
22-01-2023,Ath Bilbao,Ath Bilbao,Real Madrid
03-02-2023,Ath Bilbao,Ath Bilbao,Cadiz
26-02-2023,Ath Bilbao,Ath Bilbao,Girona
12-03-2023,Ath Bilbao,Ath Bilbao,Barcelona
01-04-2023,Ath Bilbao,Ath Bilbao,Getafe
29-08-2022,Cadiz,Cadiz,Ath Bilbao
11-09-2022,Elche,Elche,Ath Bilbao
08-10-2022,Sevilla,Sevilla,Ath Bilbao
18-10-2022,Getafe,Getafe,Ath Bilbao
23-10-2022,Barcelona,Barcelona,Ath Bilbao
04-11-2022,Girona,Girona,Ath Bilbao
29-12-2022,Betis,Betis,Ath Bilbao
14-01-2023,Sociedad,Sociedad,Ath Bilbao
29-01-2023,Celta,Celta,Ath Bilbao
11-02-2023,Valencia,Valencia,Ath Bilbao
19-02-2023,Ath Madrid,Ath Madrid,Ath Bilbao
05-03-2023,Vallecano,Vallecano,Ath Bilbao
17-03-2023,Valladolid,Valladolid,Ath Bilbao
21-08-2022,Ath Madrid,Ath Madrid,Villarreal
10-09-2022,Ath Madrid,Ath Madrid,Celta
18-09-2022,Ath Madrid,Ath Madrid,Real Madrid
08-10-2022,Ath Madrid,Ath Madrid,Girona
18-10-2022,Ath Madrid,Ath Madrid,Vallecano
06-11-2022,Ath Madrid,Ath Madrid,Espanol
29-12-2022,Ath Madrid,Ath Madrid,Elche
08-01-2023,Ath Madrid,Ath Madrid,Barcelona
21-01-2023,Ath Madrid,Ath Madrid,Valladolid
04-02-2023,Ath Madrid,Ath Madrid,Getafe
19-02-2023,Ath Madrid,Ath Madrid,Ath Bilbao
04-03-2023,Ath Madrid,Ath Madrid,Sevilla
18-03-2023,Ath Madrid,Ath Madrid,Valencia
02-04-2023,Ath Madrid,Ath Madrid,Betis
15-08-2022,Getafe,Getafe,Ath Madrid
29-08-2022,Valencia,Valencia,Ath Madrid
03-09-2022,Sociedad,Sociedad,Ath Madrid
01-10-2022,Sevilla,Sevilla,Ath Madrid
15-10-2022,Ath Bilbao,Ath Bilbao,Ath Madrid
23-10-2022,Betis,Betis,Ath Madrid
29-10-2022,Cadiz,Cadiz,Ath Madrid
09-11-2022,Mallorca,Mallorca,Ath Madrid
15-01-2023,Almeria,Almeria,Ath Madrid
29-01-2023,Osasuna,Osasuna,Ath Madrid
12-02-2023,Celta,Celta,Ath Madrid
25-02-2023,Real Madrid,Real Madrid,Ath Madrid
13-03-2023,Girona,Girona,Ath Madrid
13-08-2022,Barcelona,Barcelona,Vallecano
28-08-2022,Barcelona,Barcelona,Valladolid
17-09-2022,Barcelona,Barcelona,Elche
09-10-2022,Barcelona,Barcelona,Celta
20-10-2022,Barcelona,Barcelona,Villarreal
23-10-2022,Barcelona,Barcelona,Ath Bilbao
05-11-2022,Barcelona,Barcelona,Almeria
31-12-2022,Barcelona,Barcelona,Espanol
22-01-2023,Barcelona,Barcelona,Getafe
05-02-2023,Barcelona,Barcelona,Sevilla
19-02-2023,Barcelona,Barcelona,Cadiz
05-03-2023,Barcelona,Barcelona,Valencia
19-03-2023,Barcelona,Barcelona,Real Madrid
21-08-2022,Sociedad,Sociedad,Barcelona
03-09-2022,Sevilla,Sevilla,Barcelona
10-09-2022,Cadiz,Cadiz,Barcelona
01-10-2022,Mallorca,Mallorca,Barcelona
16-10-2022,Real Madrid,Real Madrid,Barcelona
29-10-2022,Valencia,Valencia,Barcelona
08-11-2022,Osasuna,Osasuna,Barcelona
08-01-2023,Ath Madrid,Ath Madrid,Barcelona
